"mora","atraso","vivienda","edad","dias_lab","exp_sf","nivel_ahorro","ingreso","linea_sf","deuda_sf","zona","clasif_sbs","nivel_educ"
"0","235","FAMILIAR","30","3748","93","5","3500","","0","Lima","4","UNIVERSITARIA"
"0","18","FAMILIAR","32","4598","9","12","900","1824.67","1933.75","La Libertad","1","TECNICA"
"0","0","FAMILIAR","26","5148","8","2","2400","2797.38","188.29","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","36","5179","20","12","2700","","0","Ancash","0","TECNICA"
"0","0","FAMILIAR","46","3960","","1","3100","2000","11010.65","Lima","0","TECNICA"
"0","22","FAMILIAR","25","4874","9","12","2200","449.92","496.58","Lima","0","UNIVERSITARIA"
"0","9","FAMILIAR","30","3930","12","8","2100","4827.64","850.21","Lima","0","UNIVERSITARIA"
"0","8","PROPIA","55","4995","23","12","5593.21","10467","18620.8","Piura","0","TECNICA"
"0","2","FAMILIAR","30","5026","","0","2000","7315.41","0","Piura","0","UNIVERSITARIA"
"0","0","FAMILIAR","31","4964","","4","3800","","0","Ica","0","TECNICA"
"0","0","FAMILIAR","26","4200","8","12","3929.72","6000","502.13","Loreto","0","TECNICA"
"0","0","FAMILIAR","50","4995","","2","6000","2802.74","19020.95","Junin","0","TECNICA"
"0","1","FAMILIAR","21","4315","12","12","1076.94","3900","3796.18","Lima","0","TECNICA"
"0","0","PROPIA","41","3687","8","10","2615.68","3500","1825.18","Lima","0","TECNICA"
"0","0","FAMILIAR","30","3779","6","11","850","675","2484.67","Lima","0","TECNICA"
"0","1","FAMILIAR","52","6031","","12","8000","2709.94","47869.37","Lambayeque","0","TECNICA"
"0","17","FAMILIAR","28","5694","47","0","2800","7324.16","0","Lima","2","UNIVERSITARIA"
"0","0","FAMILIAR","45","7612","","4","1053","541.21","0","Lima","1","UNIVERSITARIA"
"0","0","FAMILIAR","30","3899","10","12","1163.91","8871.27","32.05","Lima","0","TECNICA"
"0","0","FAMILIAR","54","3930","9","12","666.11","2673","4010.56","Piura","0","TECNICA"
"0","25","FAMILIAR","29","4052","11","9","1500","1500","423.93","Lima","1","TECNICA"
"0","2","FAMILIAR","35","3992","8","12","785.06","500","818.8","Lima","1","TECNICA"
"0","2","FAMILIAR","51","4385","12","12","900","","3672.76","Lima","0","TECNICA"
"0","2","FAMILIAR","29","4904","","12","905.76","350","1814.11","Lima","0","TECNICA"
"0","1","PROPIA","59","5605","9","12","2300","600","5195.7","Lima","0","TECNICA"
"0","2","PROPIA","41","4083","","12","950","","4444.3","Piura","0","TECNICA"
"0","0","FAMILIAR","22","3382","8","12","2100","900","3533.97","Callao","0","UNIVERSITARIA"
"0","25","FAMILIAR","23","4205","7","12","2100","1200","1412.51","Lima","1","UNIVERSITARIA"
"0","6","FAMILIAR","26","5452","","12","3000","2779.74","1815.53","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","32","4052","","12","1779.79","","9389.79","Lima","0","TECNICA"
"0","0","FAMILIAR","30","5209","33","11","18000","13830.18","0","Lima","0","UNIVERSITARIA"
"0","1","FAMILIAR","32","3626","","12","940.79","1350.09","2835.34","Lima","0","TECNICA"
"0","25","FAMILIAR","26","4598","33","12","1434.7","6910.5","5500.23","Callao","1","TECNICA"
"0","0","FAMILIAR","29","4721","8","12","2600","1075.95","747.4","Lima","0","UNIVERSITARIA"
"0","0","PROPIA","40","9988","","0","3100","","0","Ancash","4","UNIVERSITARIA"
"0","0","PROPIA","46","5564","","1","900","4742.45","1610.13","Lambayeque","1","TECNICA"
"0","1","FAMILIAR","38","4233","","12","1097.38","1200","4562.13","Lima","1","TECNICA"
"0","0","FAMILIAR","26","4598","8","12","2300","6406.02","158.24","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","31","4478","8","12","1300","1850","1471.32","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","24","4356","10","12","3500","","0","Lima","0","TECNICA"
"0","20","PROPIA","42","5301","","12","2600","145.12","1316.08","Lima","2","TECNICA"
"0","0","FAMILIAR","29","4386","8","12","2100","863.39","89.83","Lima","0","UNIVERSITARIA"
"0","1","FAMILIAR","34","3930","11","12","2066.59","1000","5356.8","Ica","0","TECNICA"
"0","0","PROPIA","35","4144","","12","2168.83","1500","3874.39","La Libertad","0","TECNICA"
"0","23","FAMILIAR","36","4995","","1","1200","1840","1218.6","Lima","1","UNIVERSITARIA"
"0","9","PROPIA","38","5209","28","12","700","2595.06","1094.72","Lima","0","TECNICA"
"0","1","PROPIA","24","4052","","12","1119.98","","945.36","Lima","0","TECNICA"
"0","27","PROPIA","37","3534","","12","1700","","18711.03","Cajamarca","0","TECNICA"
"0","0","FAMILIAR","32","5878","11","12","1950","1760","5.29","Lima","0","TECNICA"
"0","33","FAMILIAR","36","6243","38","12","900","2414.65","0","Lima","2","TECNICA"
"0","0","PROPIA","24","4382","","12","1272.95","","4103.82","Callao","0","TECNICA"
"0","0","FAMILIAR","29","5056","14","1","1500","10485.64","502.97","Lima","0","UNIVERSITARIA"
"0","2","FAMILIAR","25","4935","16","12","1053.18","2400","1200","Callao","0","TECNICA"
"0","21","FAMILIAR","23","3960","17","12","2100","2113.17","3.96","Lima","1","TECNICA"
"0","2","FAMILIAR","23","4539","","12","2300","1573.6","0","Lima","0","UNIVERSITARIA"
"0","1","PROPIA","24","3899","20","12","2100","2080","2426.15","Lima","2","UNIVERSITARIA"
"0","0","FAMILIAR","28","4113","6","12","1400","2500","1810.82","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","29","4113","15","12","4200","186.22","1075.17","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","26","3483","","12","703.53","","2495.79","Lima","0","TECNICA"
"0","0","FAMILIAR","24","4021","","12","1200","","3789.55","Lima","0","TECNICA"
"0","1","PROPIA","39","3864","","12","880","","197.03","Lima","0","TECNICA"
"0","0","PROPIA","32","6821","","8","5000","242.23","9481.83","Lambayeque","0","TECNICA"
"0","0","FAMILIAR","37","4174","","12","3500","2924.86","0","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","21","3718","9","11","2100","2176.56","771.21","Lima","2","UNIVERSITARIA"
"0","0","FAMILIAR","25","3347","","12","2500","","0","Junin","0","TECNICA"
"0","0","FAMILIAR","41","4386","104","12","3350","14223.57","3459.13","La Libertad","1","TECNICA"
"0","0","ALQUILADA","29","4935","","0","1860","","13201.17","La Libertad","0","TECNICA"
"0","2","FAMILIAR","44","4813","2","12","3476","","24592.29","Ancash","4","UNIVERSITARIA"
"0","3","FAMILIAR","25","5725","","11","6000","520.73","0","Lambayeque","1","TECNICA"
"0","0","FAMILIAR","29","3168","","12","694.41","886.68","1556.01","Lima","1","TECNICA"
"0","2","FAMILIAR","21","3612","","12","1504.31","","0","Lima","0","TECNICA"
"0","2","FAMILIAR","28","4367","","12","1812.8","","7697.47","La Libertad","0","TECNICA"
"0","2","FAMILIAR","26","4818","","12","964.62","","284.36","Tumbes","0","SECUNDARIA"
"0","6","FAMILIAR","34","10108","33","1","5039","461.21","19539.22","Piura","1","TECNICA"
"0","0","FAMILIAR","32","6396","15","0","4500","14940.16","60.3","Lima","0","SECUNDARIA"
"0","0","FAMILIAR","29","5301","24","0","3224.86","567.63","678.86","Apurimac","0","UNIVERSITARIA"
"0","23","FAMILIAR","35","5847","","12","1800","","3942.86","Piura","1","UNIVERSITARIA"
"0","0","PROPIA","47","4570","","12","3800","1790.97","1943.62","Lambayeque","0","SECUNDARIA"
"0","0","FAMILIAR","29","5360","","12","3200","5889.34","0","Lima","1","UNIVERSITARIA"
"0","0","FAMILIAR","30","3443","","12","8239","","23303.9","Cajamarca","0","TECNICA"
"0","0","FAMILIAR","36","4170","10","12","3150","1700","1637.81","Lima","4","UNIVERSITARIA"
"0","1","FAMILIAR","28","6456","9","11","2200","1107.42","1175.88","Lima","0","UNIVERSITARIA"
"0","1","FAMILIAR","55","3868","8","12","3686.3","8925","2764.72","Lima","2","TECNICA"
"0","1","FAMILIAR","26","4113","7","12","2278.38","1600","5458.23","Lima","0","UNIVERSITARIA"
"0","0","PROPIA","32","4629","9","12","3000","2107.77","3735.74","Moquegua","0","TECNICA"
"0","1","FAMILIAR","32","4205","","12","1000","460","3951.23","Lima","0","TECNICA"
"0","20","PROPIA","26","4721","38","12","2166.26","5338.84","0","Lima","1","TECNICA"
"0","0","FAMILIAR","24","3809","10","10","827.67","2800","1215.48","La Libertad","0","TECNICA"
"0","2","PROPIA","56","6762","","12","2690","","0","Junin","0","TECNICA"
"0","0","FAMILIAR","25","4083","11","12","2100","1500","1415.81","Callao","0","UNIVERSITARIA"
"0","0","FAMILIAR","41","5421","8","12","990","179.05","637.72","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","48","7492","92","0","4000","11652.79","4929.23","Lima","0","TECNICA"
"0","13","FAMILIAR","41","4113","","12","1632.87","","1543.45","Lima","0","TECNICA"
"0","1","FAMILIAR","32","4300","9","12","964.17","2258.74","761.47","Lima","1","TECNICA"
"0","0","FAMILIAR","34","4263","","12","968","","1241.07","Cuzco","0","TECNICA"
"0","0","PROPIA","29","5544","46","2","6814","18752.45","0","Lima","0","UNIVERSITARIA"
"0","25","FAMILIAR","24","4721","41","12","2200","1423.15","552.96","Lima","2","TECNICA"
"0","0","FAMILIAR","24","4113","10","9","2100","410.12","408.67","Lambayeque","0","UNIVERSITARIA"
"0","0","FAMILIAR","26","3474","5","11","1495.09","","16688.92","La Libertad","0","TECNICA"
"0","1","FAMILIAR","31","4325","","12","1000","","1365.2","Callao","0","TECNICA"
"0","0","PROPIA","43","6456","41","12","8750","5817.84","4955.85","Junin","0","UNIVERSITARIA"
"0","25","FAMILIAR","32","7551","45","0","13000","730.92","0","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","25","3990","","12","1424.68","","6462.92","Arequipa","0","TECNICA"
"0","0","FAMILIAR","31","3899","13","0","2100","1430.11","0","Lima","0","TECNICA"
"0","0","FAMILIAR","34","7704","8","8","1500","3754","355.82","Lambayeque","1","UNIVERSITARIA"
"0","9","FAMILIAR","42","6456","25","0","8000","10769.97","0","Lima","1","UNIVERSITARIA"
"0","0","FAMILIAR","30","4386","7","12","2000","9065.38","5233.5","Lima","0","UNIVERSITARIA"
"0","9","FAMILIAR","29","5760","","12","1107.6","1650","3025.91","Piura","1","TECNICA"
"0","0","FAMILIAR","23","3734","","12","1185.05","","4336.36","Puno","0","TECNICA"
"0","17","FAMILIAR","47","7551","","3","3000","13988.17","0","Lima","1","UNIVERSITARIA"
"0","9","FAMILIAR","40","4356","17","7","900","4845.56","0","Lambayeque","0","UNIVERSITARIA"
"0","19","PROPIA","29","4615","","12","2301.9","","1886.48","La Libertad","1","UNIVERSITARIA"
"0","0","PROPIA","27","4782","","12","2097.4","","0","Lima","0","TECNICA"
"0","0","FAMILIAR","31","4083","","12","908.5","2145.14","4168.6","Lima","0","TECNICA"
"0","1","PROPIA","26","4144","","12","664.37","","1951.27","Ayacucho","0","TECNICA"
"0","2","FAMILIAR","23","4448","3","12","1368.6","1727.25","5501.75","Piura","1","TECNICA"
"0","12","FAMILIAR","36","6090","30","12","2100","","9594.57","Lima","1","TECNICA"
"0","1","FAMILIAR","31","4598","","12","1500","","10229.82","Lima","0","TECNICA"
"0","5","FAMILIAR","48","6059","","12","1540","","57094.38","Lima","1","TECNICA"
"0","0","PROPIA","50","4052","","12","1182.72","","1093.67","La Libertad","0","TECNICA"
"0","0","FAMILIAR","27","6456","8","12","2100","1717.06","432.86","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","28","3840","19","12","2100","1540","5656.79","Lima","0","TECNICA"
"0","0","FAMILIAR","38","4417","26","12","4500","866.76","0","Lima","0","UNIVERSITARIA"
"0","1","FAMILIAR","28","4113","","12","1450.38","3077.03","2007.64","Callao","3","TECNICA"
"0","0","FAMILIAR","43","6548","","12","1542.03","","9633.36","Junin","0","TECNICA"
"0","0","FAMILIAR","42","10931","39","0","3300","19.5","53.01","Pasco","0","UNIVERSITARIA"
"0","0","PROPIA","47","4935","","2","7586.26","","0","Lambayeque","0","UNIVERSITARIA"
"0","1","FAMILIAR","40","7186","","12","3290.22","4343.23","1739.58","Callao","1","TECNICA"
"0","0","FAMILIAR","32","3584","14","12","2500","4942.55","7568.56","Lambayeque","1","UNIVERSITARIA"
"0","2","FAMILIAR","29","3559","","11","2800","3667.1","1810.3","Lima","1","UNIVERSITARIA"
"0","0","FAMILIAR","23","3899","10","12","2100","1100","1049.98","Cuzco","0","UNIVERSITARIA"
"0","0","FAMILIAR","34","4690","35","12","1500","1084.9","2382.04","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","24","4478","9","12","3000","1654.49","704.89","Lima","1","UNIVERSITARIA"
"0","0","FAMILIAR","26","4539","12","12","668.46","1990","1397.76","Callao","3","TECNICA"
"0","1","PROPIA","26","4011","51","12","861.67","1906.63","2272.1","Lima","1","UNIVERSITARIA"
"0","0","PROPIA","35","4319","","12","834.25","","3606.77","Ica","0","TECNICA"
"0","0","FAMILIAR","21","3626","15","12","850","2600","5189.55","Lima","2","UNIVERSITARIA"
"0","0","FAMILIAR","28","3595","71","6","3544.79","8400","12981.97","Lambayeque","0","UNIVERSITARIA"
"0","0","FAMILIAR","48","4509","81","4","6600","5415.88","0","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","24","4570","","12","1084.18","","4420.64","Ica","0","TECNICA"
"0","0","FAMILIAR","42","4417","13","11","2850","1433.22","438.09","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","43","3868","","12","2400","12936.95","4107.47","Lima","1","TECNICA"
"0","0","PROPIA","49","6456","44","3","30000","","0","Lima","0","SIN EDUCACION"
"0","1","FAMILIAR","28","3650","","12","1378.3","","3415.59","Callao","0","UNIVERSITARIA"
"0","2","FAMILIAR","49","3707","","12","3152.38","","3762.38","Lima","0","TECNICA"
"0","0","FAMILIAR","34","3290","","12","1682.62","","3513.41","Callao","0","TECNICA"
"0","0","FAMILIAR","43","6059","21","12","3070","2659.3","3709.71","Lima","0","TECNICA"
"0","0","FAMILIAR","33","4675","","12","2030.99","700","12051.69","Callao","0","TECNICA"
"0","1","FAMILIAR","27","4172","","12","1032.6","4295.86","127","Lima","0","TECNICA"
"0","0","FAMILIAR","21","3626","","12","2100","","6294.66","Lima","0","UNIVERSITARIA"
"0","9","FAMILIAR","29","4721","29","4","1800","6184.6","896.17","Lima","2","UNIVERSITARIA"
"0","2","PROPIA","38","4534","","12","2200","1000","2191.17","Huanuco","0","SECUNDARIA"
"0","0","FAMILIAR","28","4386","3","12","3800","5404.23","3314.83","Lima","2","UNIVERSITARIA"
"0","0","PROPIA","33","5240","12","12","5600","36200","16382.84","Lima","2","UNIVERSITARIA"
"0","2","PROPIA","23","4904","","12","800","","2280.88","Lima","0","TECNICA"
"0","0","PROPIA","44","6456","","12","2100","","0","Lima","0","TECNICA"
"0","0","PROPIA","31","3717","6","12","900","","2090.34","Lima","0","TECNICA"
"0","0","FAMILIAR","49","8343","","0","2000","2104.39","1189.17","Lima","0","UNIVERSITARIA"
"0","0","PROPIA","39","3868","","12","1148.31","","1279.78","Junin","0","TECNICA"
"0","0","FAMILIAR","29","4629","24","12","1604.5","2199","0","Lima","0","TECNICA"
"0","0","FAMILIAR","24","3991","","12","1511.16","","7953.25","Pasco","0","SECUNDARIA"
"0","2","FAMILIAR","25","4995","","12","1266.15","","4947.87","Lima","0","TECNICA"
"0","0","FAMILIAR","32","4598","","12","950","979.17","3876.3","Ica","0","TECNICA"
"0","1","PROPIA","22","4136","","12","967.18","1840","0","Lima","0","TECNICA"
"0","2","FAMILIAR","36","7492","","12","1200","","1862.32","Lima","0","TECNICA"
"0","0","FAMILIAR","28","4492","","12","801.49","","951.03","Lima","0","TECNICA"
"0","0","FAMILIAR","40","5847","22","0","750","547.47","0","Callao","0","TECNICA"
"0","2","PROPIA","32","6335","","12","1980","","12203.76","La Libertad","0","TECNICA"
"0","0","FAMILIAR","27","4570","13","12","1400","765.88","2523.65","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","27","5506","31","12","736.93","2238.58","0","Lima","0","TECNICA"
"0","13","FAMILIAR","50","5635","","0","1160","","0","Lima","1","UNIVERSITARIA"
"0","0","FAMILIAR","40","4782","93","12","2500","8262","5134.2","Lima","0","UNIVERSITARIA"
"0","2","PROPIA","45","4448","","12","2100","4450","18010.11","Piura","0","UNIVERSITARIA"
"0","0","FAMILIAR","49","10108","8","12","4400","207.96","1398.16","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","25","4083","","12","1524.72","3690","5796.72","Lima","0","SECUNDARIA"
"0","2","FAMILIAR","31","5117","","12","1300","1900","4454.31","Lima","1","TECNICA"
"0","1","FAMILIAR","31","4843","10","12","1350","","1770.29","Lima","0","TECNICA"
"0","2","PROPIA","41","4660","","12","1200","","2103.24","La Libertad","4","TECNICA"
"0","32","FAMILIAR","32","6548","66","12","1680","2544.2","0","Lima","2","UNIVERSITARIA"
"0","0","PROPIA","40","4570","61","12","2900","5172.05","1685.48","Callao","0","UNIVERSITARIA"
"0","2","PROPIA","32","4509","","12","1324.67","","2609.61","Huancavelica","0","TECNICA"
"0","0","PROPIA","24","4570","44","12","5050","12510.24","390.01","Lima","0","TECNICA"
"0","33","PROPIA","40","9439","80","0","19500","19729.88","3055.31","Lima","2","UNIVERSITARIA"
"0","0","PROPIA","44","9378","","0","2000","2698.28","10326.06","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","28","4813","14","12","1800","2911.91","0","Lima","0","UNIVERSITARIA"
"0","9","FAMILIAR","25","5148","23","4","2500","2681.32","260.23","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","29","4690","14","12","5600","251.77","340.72","Junin","0","UNIVERSITARIA"
"0","0","FAMILIAR","35","4598","","12","1400","","7833.49","Cajamarca","0","TECNICA"
"0","0","FAMILIAR","29","4964","48","12","6989.4","16399.64","0","Lima","1","UNIVERSITARIA"
"0","9","FAMILIAR","27","3899","19","12","2224.3","14100.17","4005.58","Callao","2","UNIVERSITARIA"
"0","0","FAMILIAR","31","5087","15","12","3100","515.88","196.58","Puno","0","UNIVERSITARIA"
"0","2","FAMILIAR","51","4539","","12","1200","2850","1042.89","Lima","1","UNIVERSITARIA"
"0","0","PROPIA","52","4629","","12","2800","3191.15","0","Lima","0","TECNICA"
"0","0","FAMILIAR","38","4264","9","7","1350","5505.04","389.15","Lima","0","UNIVERSITARIA"
"0","0","PROPIA","41","5605","36","12","1787","7780.68","2560.06","Lima","0","TECNICA"
"0","0","PROPIA","33","6000","79","12","5200","3084.13","1078.39","Lima","0","UNIVERSITARIA"
"0","0","FAMILIAR","40","6456","","12","2100","2327.28","0","Lima","1","TECNICA"
"0","0","FAMILIAR","36","7431","","12","2500","","7574.82","Ancash","0","TECNICA"
"0","8","FAMILIAR","37","3868","11","10","10500","86975.05","7484.61","Lima","1","UNIVERSITARIA"
"0","0","FAMILIAR","60","5301","78","0","857.36","745.6","0","Arequipa","1","UNIVERSITARIA"
"0","0","FAMILIAR","29","4233","","12","1550","4148.18","0","Lima","0","TECNICA"
"0","18","FAMILIAR","37","4598","13","0","3200","14175.49","1907.22","Lima","1","UNIVERSITARIA"
"0","0","PROPIA","29","4264","","12","1362.9","","434.6","Ica","3","TECNICA"
"0","0","FAMILIAR","37","3991","","12","3249.43","","7328.63","Lima","0","TECNICA"
"0","2","FAMILIAR","33","4086","","12","2152","14018.38","6511.45","Ucayali","1","TECNICA"
"0","0","FAMILIAR","27","3352","12","12","1207.65","","6508.35","Lima","0","TECNICA"
"0","0","ALQUILADA","34","3764","53","1","7055","30053.51","57094.38","Lima","1","TECNICA"
"0","0","FAMILIAR","38","4386","","12","1182.36","2180.72","1733.79","Callao","3","TECNICA"
"0","0","FAMILIAR","28","6456","","12","1500","6365.69","6276.19","Lima","1","TECNICA"
"0","0","PROPIA","23","3534","","12","1017.03","750","579.23","Callao","0","TECNICA"
"0","0","FAMILIAR","23","3846","","12","944.29","5598.05","258.87","Callao","0","TECNICA"
"0","8","FAMILIAR","29","4570","57","2","2111","7442.55","206.86","Lima","1","UNIVERSITARIA"
"0","0","FAMILIAR","24","3840","","12","2506.18","","3419.02","Lima","0","UNIVERSITARIA"
"0","0","PROPIA","46","6456","87","12","13500","19479.76","7942.84","Lima","4","TECNICA"
"0","32","PROPIA","32","4782","14","12","1200","","0","Junin","2","TECNICA"
"0","0","FAMILIAR","23","3687","","12","1244.27","692.36","1302.18","Lima","1","TECNICA"
"0","2","PROPIA","23","3840","11","12","2245.74","5104.86","18475.97","Huanuco","0","TECNICA"
"0","0","PROPIA","25","4436","","12","1270.43","1200","2526.82","Lima","0","TECNICA"
"0","2","PROPIA","52","5482","","12","2974.96","","1984.65","Ucayali","0","TECNICA"
"0","0","FAMILIAR","34","8039","20","12","2200","276.36","23.5","Lima","0","UNIVERSITARIA"
"0","2","FAMILIAR","29","5513","","12","3000","","2593.17","Lima","0","UNIVERSITARIA"
