Rango;Pais;Indice de Costo;Ingreso Mensual en dolares;Indice de poder adquisitivo
1;Bermuda *;157.9;10437;103.8
2;Cayman Islands *;138.3;5433;61.7
3;Switzerland;131.4;7454;89.1
4;Turks and Caicos Islands *;124.6;2013;25.4
5;Israel;123.1;4554;58.1
6;Barbados;121.8;1613;20.8
7;Iceland;120.1;5685;74.3
8;Ireland;110.6;6756;96
9;Denmark;109.2;6100;87.8
10;Norway;108.1;7959;115.7
11;Australia;107;5036;74
12;Bahamas;105.5;2628;39.1
13;Vanuatu;103.8;297;4.5
14;Luxembourg;103.4;7600;115.5
15;New Zealand;101.4;4038;62.6
16;Canada;101.3;4413;68.5
17;United States;100;6364;100
18;United Kingdom;98.5;4074;65
19;Finland;95.6;4530;74.5
20;Sweden;93.9;5249;87.9
21;Iran;92.5;325;5.5
22;Netherlands;88.2;4786;85.3
23;Belgium;86.8;4058;73.5
24;Japan;84.9;3537;65.4
25;France;83.2;3822;72.2
26;Austria;83.1;4678;88.5
27;Germany;82.3;4449;85
28;Italy;75.7;3142;65.2
29;South Korea;75.6;2999;62.4
30;Hong Kong *;73.2;4531;97.3
31;Spain;73;2640;56.9
32;Singapore;72.1;5600;122
33;Qatar;69.5;5875;132.8
34;Portugal;67.9;2150;49.7
35;United Arab Emirates;67.2;4079;95.4
36;Macao *;66.7;3748;88.3
37;Greece;66.5;1812;42.8
38;Czechia;66.1;2216;52.7
39;Costa Rica;59.4;1056;27.9
40;Lithuania;59.2;1974;52.4
41;Mexico;58.5;868;23.3
42;Chile;58.3;1280;34.5
43;China;57.6;1071;29.2
44;Haiti;57.6;134;3.7
45;Croatia;54.6;1623;46.7
46;Hungary;50.7;1584;49.1
47;Brazil;49.8;678;21.4
48;Ecuador;49.7;526;16.6
49;Oman;48.2;1679;54.7
50;El Salvador;48.2;393;12.8
51;Serbia;47.4;762;25.2
52;Poland;46.5;1529;51.7
53;Albania;46.3;564;19.2
54;Brunei;46;2618;89.5
55;Montenegro;45.7;867;29.8
56;Bulgaria;44.4;1104;39.1
57;Nigeria;43.8;178;6.4
58;Romania;43.7;1305;47
59;South Africa;42.5;565;20.9
60;Saudi Arabia;42.2;2299;85.5
61;Mauritius;41.9;897;33.6
62;East Timor;41.9;164;6.2
63;Russia;40.5;1069;41.4
64;Morocco;39.7;309;12.2
65;Kenya;39.4;181;7.2
66;Colombia;38.2;543;22.3
67;Cameroon;36.9;138;5.9
68;Georgia;36.7;468;20
69;Philippines;36.5;329;14.2
70;Lesotho;36.1;105;4.6
71;Nicaragua;35.9;174;7.6
72;Iraq;35.9;439;19.2
73;Bangladesh;35.8;235;10.3
74;Cambodia;35.8;142;6.2
75;Malaysia;35.2;982;43.8
76;Mongolia;34.8;351;15.8
77;Thailand;34.7;603;27.3
78;Bolivia;34.3;288;13.2
79;Indonesia;33.1;382;18.1
80;Tanzania;32.6;100;4.8
81;Vietnam;32.4;334;16.2
82;Kazakhstan;31.7;789;39.1
83;Benin;31.5;117;5.8
84;Azerbaijan;31.5;469;23.4
85;Turkey;30.4;883;45.6
86;Ukraine;29.5;356;19
87;Algeria;28.8;325;17.7
88;Bhutan;27.7;253;14.3
89;Tunisia;27.5;320;18.3
90;Ghana;27;196;11.4
91;India;26.9;198;11.6
92;Kyrgyzstan;26.8;118;6.9
93;Nepal;26.5;112;6.6
94;Laos;26.5;197;11.7
95;Sri Lanka;26.3;301;18
96;Egypt;23.7;342;22.7
97;Tajikistan;23.5;101;6.7
98;Pakistan;23.1;132;8.9
99;Myanmar;22.7;101;7
100;Uzbekistan;21.7;183;13.2
101;Palestine;17.7;384;34.2
